1/2-pound beef
1/2-pound beef & potato burrito
1/2-pound beef combo burrito
1/2-pound cheesy bean & rice burrito
7 layer nachos
bacon cheddar gordita crunch
bacon club chalupa
baja chicken taco
baja taco
bean burrito especial
beef
beefy crunch burrito
beefy nachos
beefy potato-rito
bell beefer
bellburger
big beef burrito
big beef taco
big bell box meal
big border taco
big crunch taco
big taste taco
black jack taco
burrito
caesar dressing
cantina double steak quesadilla
cheesarito
cheese
cheese extreme quesadilla
cheese quesadilla
cheesy bean and rice burrito
cheesy double beef burrito
cheesy gordita crunch
chicken
chicken burrito
chicken caesar grilled stuft burrito
chicken enchilada grilled stuft burrito
chicken fajitas
chicken fiesta melt
chicken flatbread sandwich
chicken nachos bellgrande
chicken quesadillas
chipotle grilled stuft burrito
chipotle sauce
cinnamon twists
club chalupa
creamy jalapeño sauce
crispy chicken quesadilla
crunchwrap supreme
crunchy red strips
crunchy taco
doritos locos tacos
double chalupa
double cheesy gordita crunch
double decker taco
double grande taco
double stacked tacos
double steak grande quesadilla
dressed egg taco
enchirito
epic hot taco
extreme cheese and beef quesadilla
extreme nachos
fiesta taco salad
flatbread sandwiches
fully loaded nachos
gordita baja
grande nacho box
grande soft taco
grilled stuft burrito
grilled stuft nacho
grilled taquitos
"grilled, marinated all-white meat chicken"
ground beef
guacamole
ice cream
kalua pork grilled stuft burrito
kalua pork quesadilla
lava sauce
lettuce
meat
meximelt
monterey chicken quesadilla
nacho crunch grilled stuft burrito
nacho fries
nacho fries bellgrande
nachos
nachos bellgrande
nachos bellgrande with no green onions
nachos supreme
nachos supreme with no green onions
nachos with cheese
naked chicken chips
potato
potato crisp nachos
power menu bowl
quesadillas
rice
rolled chicken tacos
romaine lettuce
sausage & bacon grilled stuft burrito
seafood salad
shredded cheese
shredded chicken
soft taco
sour cream
southwest steak border bowl
spicy chicken burrito
spicy chicken soft taco
sriracha burrito
sriracha nachos
sriracha quesarito
sriracha taco
steak burrito
steak fajitas
steak nachos bellgrande
steak quesadilla
steak rattlesnake fries
steak reaper ranch fries
steakhouse nachos
taco
taco bell grande
taco salad
taco salad express
taco supreme
three-cheese blend
toasted cheddar chalupa
tomato
tortilla
tortilla chips
triple double crunchwrap
triple melt nachos
triple-layer nachos
ultimate chalupa
volcano burrito
volcano nachos
volcano quesarito
volcano taco
wild burrito
wild tacos
xxl steak crispy taco
xxl steak nachos
yucko taco
zesty chicken border bowl
zesty nachos
supreme soft taco party pack
supreme taco party pack
soft taco party pack
taco party pack
taco & burrito cravings pack
blue raspberry freeze
midnight berry freeze
loaded nacho taco
bacon club chalupa combo
nacho fries box
chicken quesadilla combo
2 chicken chalupas supreme combo
nachos bellgrande combo
crunchwrap supreme combo
burrito supreme combo
3 soft tacos combo
3 soft tacos supreme combo
3 crunchy tacos combo
3 crunchy tacos supreme combo
3 doritos locos tacos supreme combo
3 doritos locos tacos combo
supreme variety taco party pack
variety taco party pack
fire sauce packet
hot sauce packet
mild sauce packet
diablo sauce packet
chalupa supreme
crunchwrap supreme®
black bean chalupa
nacho cheese doritos locos tacos supreme
nacho cheese doritos locos tacos
crunchy taco supreme
soft taco supreme
burrito supreme
beefy 5-layer burrito
bean burrito
quesarito
chicken quesadilla
doubledilla 
chips and nacho cheese sauce
cinnabon delights 2 pack
cheesy roll up
beef burrito
chicken chipotle melt
cinnabon delights 12 pack
black beans
black beans and rice
mountain dew baja blast freeze
wild strawberry freeze
pepsi can
diet pepsi can
mountain dew can
sierra mist can
power menu bowl - veggie
black bean crunchwrap supreme
black bean quesarito
menu item
creamy jalapeã±o sauce
crunchwrap supremeâ®
